Date,Jour,Plateforme,Format,Pilier,Titre / Hook,Caption (FR),Hashtags,Visuel requis,CTA,Statut,Notes
2026-05-05,Mardi,Instagram,Feed post,Annonce,"Le compte est ouvert.","Genève accueille le Mondial. Trois lieux. Une expérience. Réservez vos places dès maintenant.","#MondialeEnVille #Geneve #FIFA2026 #Fanzone","Logo + photo Cercle des Bains",mondialeenville.ch,À produire,Post de lancement
2026-05-05,Mardi,Instagram,Story (3 frames),Annonce,"Coulisses du lancement","1) Logo plein écran  2) Carte des 3 lieux  3) Sticker countdown","","Templates story",Lien billetterie,À produire,
2026-05-06,Mercredi,TikTok,Reel 15s,Annonce,"Genève × Coupe du Monde","Vidéo dynamique : 3 lieux en 3 plans + logo final","#fyp #geneve #coupedumonde #foot","Vidéo verticale 9:16",Lien bio,À produire,Hook fort dans 2 premières secondes
2026-05-07,Jeudi,Instagram,Feed carousel,Lieux,"Cercle des Bains : la fanzone iconique","5 slides présentant le lieu : ambiance, bar, écran géant, terrasse, capacité","#CercleDesBains #Geneve #Fanzone","5 photos haute qualité",Réserver,À produire,
2026-05-08,Vendredi,Instagram,Story,Coulisses,"Préparation équipe","Photos floues stylisées + sticker question : « Quel match attendez-vous le plus ? »","","Photos team",Sticker question,À produire,Engagement
2026-05-09,Samedi,Instagram,Reel 30s,Lieux,"Uptown Geneva : la rooftop","Reel ambiance rooftop, sunset, drinks","#UptownGeneva #Rooftop #Geneve","Vidéo verticale",Lien bio,À produire,
2026-05-10,Dimanche,Facebook,Feed post,Annonce,"Plus que [N] jours","Annonce officielle Facebook + invitation événement","","Visuel countdown",Événement FB,À produire,Créer aussi l'événement Facebook
2026-05-11,Lundi,Instagram,Feed post,Lieux,"Optimhall : la salle premium","Présentation du 3e lieu","#Optimhall #Geneve #Premium","3 photos",Billetterie,À produire,Jour J du lancement complet
2026-05-12,Mardi,TikTok,Reel,Hype,"POV : Tu regardes le match à Cercle des Bains","POV style trendy",,"Vidéo 9:16",Lien bio,À produire,
2026-05-13,Mercredi,Instagram,Story,Engagement,"Sondage : Match d'ouverture","Sondage : Avec qui viendrez-vous ?",,"Template sondage",Sticker sondage,À produire,
2026-05-14,Jeudi,Instagram,Feed,Hype,"Le mondial mérite mieux qu'un canapé","Visuel statement + caption courte",,"Visuel typographique",Réserver,À produire,
2026-05-15,Vendredi,Instagram,Reel,Coulisses,"Visite guidée Cercle des Bains","Vidéo 30s walking tour",,"Vidéo 9:16",Lien bio,À produire,
,,,,,,,,,,,
,,,,,,,,,,,Pilier 1 : Annonce / hype
,,,,,,,,,,,Pilier 2 : Lieux (les 3 fanzones)
,,,,,,,,,,,Pilier 3 : Coulisses (équipe / préparation)
,,,,,,,,,,,Pilier 4 : Engagement (sondages / questions)
,,,,,,,,,,,Pilier 5 : Compte à rebours / urgence (dernières 2 semaines)
